,diff_day,dt,fault_time,label,serial_number,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized
0,96.0,2018-01-17,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
1,95.0,2018-01-18,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
2,94.0,2018-01-19,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
3,93.0,2018-01-20,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
4,92.0,2018-01-21,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
5,91.0,2018-01-22,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
6,90.0,2018-01-23,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
7,89.0,2018-01-24,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
8,88.0,2018-01-25,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
9,87.0,2018-01-26,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
10,86.0,2018-01-27,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
11,85.0,2018-01-28,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
12,84.0,2018-01-29,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
13,83.0,2018-01-30,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
14,82.0,2018-01-31,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
15,165.0,2018-01-12,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,6.0,100.0,100.0,83.0,88.0,100.0,70.0,100.0
16,162.0,2018-01-15,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,7.0,100.0,100.0,83.0,88.0,100.0,75.0,100.0
17,161.0,2018-01-16,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,100.0,100.0,100.0,100.0,88.0,100.0,76.0,100.0
18,158.0,2018-01-19,2018-06-26,0,disk_10590,100.0,100.0,100.0,71.0,100.0,29.0,6.0,100.0,100.0,74.0,88.0,100.0,78.0,100.0
19,157.0,2018-01-20,2018-06-26,0,disk_10590,100.0,100.0,100.0,71.0,100.0,29.0,6.0,100.0,100.0,77.0,88.0,100.0,79.0,100.0
20,156.0,2018-01-21,2018-06-26,0,disk_10590,100.0,100.0,100.0,71.0,100.0,29.0,100.0,100.0,100.0,100.0,88.0,100.0,79.0,100.0
21,155.0,2018-01-22,2018-06-26,0,disk_10590,100.0,100.0,100.0,71.0,100.0,29.0,6.0,100.0,100.0,82.0,88.0,100.0,80.0,100.0
22,154.0,2018-01-23,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,100.0,100.0,100.0,100.0,88.0,100.0,80.0,100.0
23,153.0,2018-01-24,2018-06-26,0,disk_10590,100.0,100.0,100.0,71.0,100.0,29.0,5.0,100.0,100.0,74.0,88.0,100.0,80.0,100.0
24,152.0,2018-01-25,2018-06-26,0,disk_10590,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,81.0,88.0,100.0,80.0,100.0
25,151.0,2018-01-26,2018-06-26,0,disk_10590,100.0,100.0,100.0,73.0,100.0,27.0,7.0,100.0,100.0,82.0,88.0,100.0,81.0,100.0
26,150.0,2018-01-27,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,6.0,100.0,100.0,78.0,88.0,100.0,81.0,100.0
27,149.0,2018-01-28,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,7.0,100.0,100.0,84.0,88.0,100.0,81.0,100.0
28,148.0,2018-01-29,2018-06-26,0,disk_10590,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,81.0,88.0,100.0,82.0,100.0
29,147.0,2018-01-30,2018-06-26,0,disk_10590,100.0,100.0,100.0,73.0,100.0,27.0,7.0,100.0,100.0,83.0,88.0,100.0,82.0,100.0
30,146.0,2018-01-31,2018-06-26,0,disk_10590,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,77.0,88.0,100.0,82.0,100.0
31,164.0,2018-01-19,2018-07-02,0,disk_10707,100.0,100.0,100.0,74.0,100.0,26.0,6.0,100.0,100.0,82.0,87.0,100.0,78.0,100.0
32,163.0,2018-01-20,2018-07-02,0,disk_10707,100.0,100.0,100.0,74.0,100.0,26.0,6.0,100.0,100.0,82.0,87.0,100.0,79.0,100.0
33,162.0,2018-01-21,2018-07-02,0,disk_10707,100.0,100.0,100.0,73.0,100.0,27.0,100.0,100.0,100.0,100.0,87.0,100.0,79.0,100.0
34,161.0,2018-01-22,2018-07-02,0,disk_10707,100.0,100.0,100.0,74.0,100.0,26.0,6.0,100.0,100.0,78.0,87.0,100.0,80.0,100.0
35,160.0,2018-01-23,2018-07-02,0,disk_10707,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,82.0,87.0,100.0,80.0,100.0
36,159.0,2018-01-24,2018-07-02,0,disk_10707,100.0,100.0,100.0,74.0,100.0,26.0,5.0,100.0,100.0,81.0,87.0,100.0,80.0,100.0
37,158.0,2018-01-25,2018-07-02,0,disk_10707,100.0,100.0,100.0,74.0,100.0,26.0,5.0,100.0,100.0,80.0,87.0,100.0,81.0,100.0
38,157.0,2018-01-26,2018-07-02,0,disk_10707,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,83.0,87.0,100.0,81.0,100.0
39,156.0,2018-01-27,2018-07-02,0,disk_10707,100.0,100.0,100.0,73.0,100.0,27.0,100.0,100.0,100.0,100.0,87.0,100.0,81.0,100.0
40,155.0,2018-01-28,2018-07-02,0,disk_10707,100.0,100.0,100.0,73.0,100.0,27.0,7.0,100.0,100.0,65.0,87.0,100.0,81.0,100.0
41,154.0,2018-01-29,2018-07-02,0,disk_10707,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,78.0,87.0,100.0,82.0,100.0
42,153.0,2018-01-30,2018-07-02,0,disk_10707,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,66.0,87.0,100.0,82.0,100.0
43,152.0,2018-01-31,2018-07-02,0,disk_10707,100.0,100.0,100.0,74.0,100.0,26.0,7.0,100.0,100.0,83.0,87.0,100.0,82.0,100.0
44,190.0,2018-01-19,2018-07-28,0,disk_10893,100.0,100.0,100.0,74.0,100.0,26.0,6.0,100.0,100.0,81.0,86.0,100.0,78.0,100.0
45,189.0,2018-01-20,2018-07-28,0,disk_10893,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,82.0,86.0,100.0,79.0,100.0
46,188.0,2018-01-21,2018-07-28,0,disk_10893,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,82.0,86.0,100.0,79.0,100.0
47,187.0,2018-01-22,2018-07-28,0,disk_10893,100.0,100.0,100.0,72.0,100.0,28.0,5.0,100.0,100.0,65.0,86.0,100.0,80.0,100.0
48,186.0,2018-01-23,2018-07-28,0,disk_10893,100.0,100.0,100.0,72.0,100.0,28.0,6.0,100.0,100.0,80.0,86.0,100.0,80.0,100.0
49,185.0,2018-01-24,2018-07-28,0,disk_10893,100.0,100.0,100.0,72.0,100.0,28.0,100.0,100.0,100.0,100.0,86.0,100.0,80.0,100.0
50,184.0,2018-01-25,2018-07-28,0,disk_10893,100.0,100.0,100.0,74.0,100.0,26.0,6.0,100.0,100.0,82.0,86.0,100.0,81.0,100.0
51,183.0,2018-01-26,2018-07-28,0,disk_10893,100.0,100.0,100.0,75.0,100.0,25.0,6.0,100.0,100.0,78.0,86.0,100.0,81.0,100.0
52,182.0,2018-01-27,2018-07-28,0,disk_10893,100.0,100.0,100.0,73.0,100.0,27.0,7.0,100.0,100.0,82.0,86.0,100.0,81.0,100.0
53,181.0,2018-01-28,2018-07-28,0,disk_10893,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,66.0,86.0,100.0,81.0,100.0
54,184.0,2018-01-11,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,100.0,100.0,100.0,100.0,87.0,100.0,71.0,100.0
55,183.0,2018-01-12,2018-07-14,0,disk_10969,100.0,100.0,100.0,76.0,100.0,24.0,100.0,100.0,100.0,100.0,87.0,100.0,72.0,100.0
56,182.0,2018-01-13,2018-07-14,0,disk_10969,100.0,100.0,100.0,76.0,100.0,24.0,100.0,100.0,100.0,100.0,87.0,100.0,72.0,100.0
57,181.0,2018-01-14,2018-07-14,0,disk_10969,100.0,100.0,100.0,76.0,100.0,24.0,100.0,100.0,100.0,100.0,87.0,100.0,72.0,100.0
58,180.0,2018-01-15,2018-07-14,0,disk_10969,100.0,100.0,100.0,76.0,100.0,24.0,100.0,100.0,100.0,100.0,87.0,100.0,72.0,100.0
59,179.0,2018-01-16,2018-07-14,0,disk_10969,100.0,100.0,100.0,76.0,100.0,24.0,100.0,100.0,100.0,100.0,87.0,100.0,72.0,100.0
60,178.0,2018-01-17,2018-07-14,0,disk_10969,100.0,100.0,100.0,76.0,100.0,24.0,100.0,100.0,100.0,100.0,87.0,100.0,72.0,100.0
61,177.0,2018-01-18,2018-07-14,0,disk_10969,100.0,100.0,100.0,76.0,100.0,24.0,100.0,100.0,100.0,100.0,87.0,100.0,72.0,100.0
62,176.0,2018-01-19,2018-07-14,0,disk_10969,100.0,100.0,100.0,76.0,100.0,24.0,100.0,100.0,100.0,100.0,87.0,100.0,72.0,100.0
63,175.0,2018-01-20,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,49.0,100.0,100.0,80.0,87.0,100.0,73.0,100.0
64,174.0,2018-01-21,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,48.0,100.0,100.0,83.0,87.0,100.0,74.0,100.0
65,173.0,2018-01-22,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,45.0,100.0,100.0,75.0,87.0,100.0,75.0,100.0
66,172.0,2018-01-23,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,45.0,100.0,100.0,82.0,87.0,100.0,76.0,100.0
67,171.0,2018-01-24,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,42.0,100.0,100.0,69.0,87.0,100.0,76.0,100.0
68,170.0,2018-01-25,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,41.0,100.0,100.0,81.0,87.0,100.0,77.0,100.0
69,169.0,2018-01-26,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,42.0,100.0,100.0,70.0,87.0,100.0,77.0,100.0
70,168.0,2018-01-27,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,41.0,100.0,100.0,81.0,87.0,100.0,78.0,100.0
71,167.0,2018-01-28,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,45.0,100.0,100.0,69.0,87.0,100.0,78.0,100.0
72,166.0,2018-01-29,2018-07-14,0,disk_10969,100.0,100.0,100.0,74.0,100.0,26.0,43.0,100.0,100.0,82.0,87.0,100.0,79.0,100.0
73,165.0,2018-01-30,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,42.0,100.0,100.0,76.0,87.0,100.0,79.0,100.0
74,164.0,2018-01-31,2018-07-14,0,disk_10969,100.0,100.0,100.0,75.0,100.0,25.0,41.0,100.0,100.0,82.0,87.0,100.0,79.0,100.0
75,71.0,2018-01-20,2018-04-01,0,disk_11708,100.0,100.0,100.0,73.0,100.0,27.0,11.0,100.0,100.0,78.0,88.0,100.0,71.0,100.0
76,70.0,2018-01-21,2018-04-01,0,disk_11708,100.0,100.0,100.0,74.0,100.0,26.0,11.0,100.0,100.0,78.0,88.0,100.0,72.0,100.0
77,69.0,2018-01-22,2018-04-01,0,disk_11708,100.0,100.0,100.0,74.0,100.0,26.0,11.0,100.0,100.0,78.0,88.0,100.0,72.0,100.0
78,68.0,2018-01-23,2018-04-01,0,disk_11708,100.0,100.0,100.0,73.0,100.0,27.0,15.0,100.0,100.0,82.0,88.0,100.0,73.0,100.0
79,67.0,2018-01-24,2018-04-01,0,disk_11708,100.0,100.0,100.0,73.0,100.0,27.0,100.0,100.0,100.0,100.0,88.0,100.0,74.0,100.0
80,66.0,2018-01-25,2018-04-01,0,disk_11708,100.0,100.0,100.0,75.0,100.0,25.0,18.0,100.0,100.0,79.0,88.0,100.0,75.0,100.0
81,65.0,2018-01-26,2018-04-01,0,disk_11708,100.0,100.0,100.0,75.0,100.0,25.0,18.0,100.0,100.0,83.0,88.0,100.0,76.0,100.0
82,64.0,2018-01-27,2018-04-01,0,disk_11708,100.0,100.0,100.0,75.0,100.0,25.0,14.0,100.0,100.0,76.0,88.0,100.0,76.0,100.0
83,63.0,2018-01-28,2018-04-01,0,disk_11708,100.0,100.0,100.0,75.0,100.0,25.0,15.0,100.0,100.0,81.0,88.0,100.0,77.0,100.0
84,62.0,2018-01-29,2018-04-01,0,disk_11708,100.0,100.0,100.0,75.0,100.0,25.0,15.0,100.0,100.0,83.0,88.0,100.0,77.0,100.0
85,61.0,2018-01-30,2018-04-01,0,disk_11708,100.0,100.0,100.0,75.0,100.0,25.0,15.0,100.0,100.0,72.0,88.0,100.0,78.0,100.0
86,60.0,2018-01-31,2018-04-01,0,disk_11708,100.0,100.0,100.0,75.0,100.0,25.0,16.0,100.0,100.0,82.0,88.0,100.0,78.0,100.0
