,diff_day,dt,fault_time,label,serial_number,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized
0,96.0,2018-01-17,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
1,95.0,2018-01-18,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
2,94.0,2018-01-19,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
3,93.0,2018-01-20,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
4,92.0,2018-01-21,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
5,91.0,2018-01-22,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
6,90.0,2018-01-23,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
7,89.0,2018-01-24,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
8,88.0,2018-01-25,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
9,87.0,2018-01-26,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
10,86.0,2018-01-27,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
11,85.0,2018-01-28,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
12,84.0,2018-01-29,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
13,83.0,2018-01-30,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
14,82.0,2018-01-31,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
15,81.0,2018-02-01,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
16,80.0,2018-02-02,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
17,79.0,2018-02-03,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
18,78.0,2018-02-04,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
19,77.0,2018-02-05,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
20,76.0,2018-02-06,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
21,75.0,2018-02-07,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
22,74.0,2018-02-08,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
23,73.0,2018-02-09,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
24,72.0,2018-02-10,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
25,71.0,2018-02-11,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
26,69.0,2018-02-13,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
27,68.0,2018-02-14,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
28,67.0,2018-02-15,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
29,66.0,2018-02-16,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
30,65.0,2018-02-17,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
31,64.0,2018-02-18,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
32,63.0,2018-02-19,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
33,62.0,2018-02-20,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
34,61.0,2018-02-21,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
35,60.0,2018-02-22,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
36,59.0,2018-02-23,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
37,58.0,2018-02-24,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
38,57.0,2018-02-25,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
39,56.0,2018-02-26,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
40,55.0,2018-02-27,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
41,54.0,2018-02-28,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
42,53.0,2018-03-01,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
43,52.0,2018-03-02,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
44,51.0,2018-03-03,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
45,50.0,2018-03-04,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
46,49.0,2018-03-05,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
47,48.0,2018-03-06,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,99.0
48,47.0,2018-03-07,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,71.0,99.0
49,46.0,2018-03-08,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,21.0,100.0,100.0,65.0,85.0,100.0,73.0,99.0
50,45.0,2018-03-09,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,23.0,100.0,100.0,67.0,85.0,100.0,74.0,99.0
51,44.0,2018-03-10,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,24.0,100.0,100.0,68.0,85.0,100.0,75.0,99.0
52,43.0,2018-03-11,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,25.0,100.0,100.0,69.0,85.0,100.0,76.0,99.0
53,42.0,2018-03-12,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,26.0,100.0,100.0,70.0,85.0,100.0,77.0,99.0
54,41.0,2018-03-13,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,27.0,100.0,100.0,71.0,85.0,100.0,77.0,99.0
55,40.0,2018-03-14,2018-04-23,0,disk_10421,100.0,100.0,100.0,78.0,100.0,22.0,29.0,100.0,100.0,74.0,85.0,100.0,78.0,99.0
56,39.0,2018-03-15,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,30.0,100.0,100.0,75.0,85.0,100.0,78.0,99.0
57,38.0,2018-03-16,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,30.0,100.0,100.0,75.0,85.0,100.0,79.0,99.0
58,37.0,2018-03-17,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,30.0,100.0,100.0,76.0,85.0,100.0,79.0,99.0
59,36.0,2018-03-18,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,30.0,100.0,100.0,76.0,85.0,100.0,79.0,99.0
60,35.0,2018-03-19,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,30.0,100.0,100.0,76.0,85.0,100.0,80.0,99.0
61,34.0,2018-03-20,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,31.0,100.0,100.0,77.0,85.0,100.0,80.0,99.0
62,33.0,2018-03-21,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,31.0,100.0,100.0,77.0,85.0,100.0,80.0,99.0
63,32.0,2018-03-22,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,31.0,100.0,100.0,77.0,85.0,100.0,81.0,99.0
64,31.0,2018-03-23,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,31.0,100.0,100.0,77.0,85.0,100.0,81.0,99.0
65,30.0,2018-03-24,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,14.0,100.0,100.0,78.0,85.0,100.0,81.0,99.0
66,29.0,2018-03-25,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,14.0,100.0,100.0,78.0,85.0,100.0,81.0,99.0
67,28.0,2018-03-26,2018-04-23,0,disk_10421,100.0,100.0,100.0,78.0,100.0,22.0,14.0,100.0,100.0,78.0,85.0,100.0,82.0,99.0
68,27.0,2018-03-27,2018-04-23,0,disk_10421,100.0,100.0,100.0,77.0,100.0,23.0,14.0,100.0,100.0,78.0,85.0,100.0,82.0,99.0
69,26.0,2018-03-28,2018-04-23,0,disk_10421,100.0,100.0,100.0,77.0,100.0,23.0,14.0,100.0,100.0,79.0,85.0,100.0,82.0,98.0
70,25.0,2018-03-29,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,14.0,100.0,100.0,79.0,85.0,100.0,82.0,98.0
71,24.0,2018-03-30,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,14.0,100.0,100.0,79.0,85.0,100.0,82.0,98.0
72,23.0,2018-03-31,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,14.0,100.0,100.0,79.0,85.0,100.0,82.0,98.0
73,165.0,2018-01-12,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,6.0,100.0,100.0,83.0,88.0,100.0,70.0,100.0
74,162.0,2018-01-15,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,7.0,100.0,100.0,83.0,88.0,100.0,75.0,100.0
75,161.0,2018-01-16,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,100.0,100.0,100.0,100.0,88.0,100.0,76.0,100.0
76,158.0,2018-01-19,2018-06-26,0,disk_10590,100.0,100.0,100.0,71.0,100.0,29.0,6.0,100.0,100.0,74.0,88.0,100.0,78.0,100.0
77,157.0,2018-01-20,2018-06-26,0,disk_10590,100.0,100.0,100.0,71.0,100.0,29.0,6.0,100.0,100.0,77.0,88.0,100.0,79.0,100.0
78,156.0,2018-01-21,2018-06-26,0,disk_10590,100.0,100.0,100.0,71.0,100.0,29.0,100.0,100.0,100.0,100.0,88.0,100.0,79.0,100.0
79,155.0,2018-01-22,2018-06-26,0,disk_10590,100.0,100.0,100.0,71.0,100.0,29.0,6.0,100.0,100.0,82.0,88.0,100.0,80.0,100.0
80,154.0,2018-01-23,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,100.0,100.0,100.0,100.0,88.0,100.0,80.0,100.0
81,153.0,2018-01-24,2018-06-26,0,disk_10590,100.0,100.0,100.0,71.0,100.0,29.0,5.0,100.0,100.0,74.0,88.0,100.0,80.0,100.0
82,152.0,2018-01-25,2018-06-26,0,disk_10590,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,81.0,88.0,100.0,80.0,100.0
83,151.0,2018-01-26,2018-06-26,0,disk_10590,100.0,100.0,100.0,73.0,100.0,27.0,7.0,100.0,100.0,82.0,88.0,100.0,81.0,100.0
84,150.0,2018-01-27,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,6.0,100.0,100.0,78.0,88.0,100.0,81.0,100.0
85,149.0,2018-01-28,2018-06-26,0,disk_10590,100.0,100.0,100.0,72.0,100.0,28.0,7.0,100.0,100.0,84.0,88.0,100.0,81.0,100.0
86,148.0,2018-01-29,2018-06-26,0,disk_10590,100.0,100.0,100.0,73.0,100.0,27.0,6.0,100.0,100.0,81.0,88.0,100.0,82.0,100.0
