diff_day,dt,fault_time,label,serial_number,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized
96.0,2018-01-17,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
95.0,2018-01-18,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
94.0,2018-01-19,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
93.0,2018-01-20,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
92.0,2018-01-21,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
91.0,2018-01-22,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
90.0,2018-01-23,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
89.0,2018-01-24,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
88.0,2018-01-25,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
87.0,2018-01-26,2018-04-23,0,disk_10421,100.0,100.0,100.0,79.0,100.0,21.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
86.0,2018-01-27,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
85.0,2018-01-28,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
84.0,2018-01-29,2018-04-23,0,disk_10421,100.0,100.0,100.0,80.0,100.0,20.0,100.0,100.0,100.0,100.0,85.0,100.0,69.0,100.0
